Restaurant,Reviewer,Review,Rating,Time,Super-Score
Beyond Flavours,Rusha Chakraborty,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friends parents waiter soumen das really courteous helpful,5.0,2019-05-25 15:54:00,6.5600000000000005
Beyond Flavours,Anusha Tirumalaneedi,ambience good pleasant evening service prompt food good good experience soumen das kudos service,5.0,2019-05-25 14:20:00,5.96
Beyond Flavours,Ashok Shekhawat,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing,5.0,2019-05-24 22:54:00,6.37
Beyond Flavours,Swapnil Sarkar,soumen das arun great guy behavior sincerety good food course would like visit place,5.0,2019-05-24 22:11:00,5.84
Beyond Flavours,Dileep,food good ordered kodi drumsticks basket mutton biryani good thanks pradeep served well enjoyed ambience also good,5.0,2019-05-24 21:37:00,6.14
Beyond Flavours,Nagabhavani K,ambiance good service good food apradeecp subro best service food good papiya good hostess ur caption good star restaurant,5.0,2019-05-24 15:22:00,6.22
Beyond Flavours,Jamuna Bhuwalka,nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place,5.0,2019-05-24 01:02:00,6.17
Beyond Flavours,Sandhya S,well reading many reviews finally visited place ambience good coming food crispy corn nice tawa fish ok basket biryani disappointed us biryani ok flattering claimed staff polite prompt especially pradeep suman,4.0,2019-05-23 15:01:00,6.09
Beyond Flavours,Akash Thorat,excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinners party,5.0,2019-05-22 23:12:00,6.5600000000000005
Beyond Flavours,Smarak Patnaik,came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care us,5.0,2019-05-22 22:37:00,7.1
Beyond Flavours,Saubhagya Bhuyan,service great food awesome service staff manab papiya courteous attentive would like come frequently place,5.0,2019-05-22 22:22:00,6.0600000000000005
Beyond Flavours,Srivaths07,good ambience amazing food good service friendly staff pradeep papiya shuvro definitely visit loved design menu card,5.0,2019-05-22 21:43:00,6.16
Beyond Flavours,Kunj Mishra,food good soup expected starters ordered honey chilli lotus stem must try vegan ppl service great frequent visits papiya know experience also food really impressive,5.0,2019-05-22 21:29:00,6.64
Beyond Flavours,Pradeep Vetapalem,food good telangana kodiak fry must try mutton biriyani good papiya helped choose best dishes attended well must visit,5.0,2019-05-22 21:21:00,6.18
Beyond Flavours,Kankaria.ritu,ordered corn cheese balls manchow soup paneer shashlik sizzler sizzler stale paneer smelling waiter impolite even accept mistake never going,1.0,2019-05-22 21:19:00,2.4
Beyond Flavours,Abhay Sharma,food ambience fantastic waiter manav maji really quick service cheese balls must try starter scrumptious,5.0,2019-05-22 20:38:00,6.04
Beyond Flavours,Shubham Jaiswal,came lunch food good tasty tried buffet items veg non veg tasty ambience service also good staff courteous shubhamtraveltales wordpress com,4.0,2019-05-22 19:54:00,5.39
Beyond Flavours,Srijani Mukherjee,best thing place food favorite go dish definitely alfredo pasta although items good well service behavior staff top notch attended mr soumen das extremely polite definitely visit soon,5.0,2019-05-22 19:47:00,6.83
Beyond Flavours,Hari Jangam,polite friendly staff nice ambience good spread menu drinks awesome service good manav looking forward seeing,5.0,2019-05-22 15:13:00,6.09
Beyond Flavours,Suneet Soni,food really good vegetarian items including paneer mushroom kofta additionally service papiya shuvro really good,5.0,2019-05-21 22:08:00,6.12
Beyond Flavours,Little Chef Chika,beautiful cozy classy time place truly recommended special days percent corporate discounts treat cotorie well without burning hole ur pocket also interior done well love vibe menu honey chilli lotus stems basket biryanis sizzling brownies favourite also loved tomato basil shorba different creamy standards restaurants definitely making visits beyond flavours special mention papiya hostess evening excellent service,5.0,2019-05-21 22:06:00,9.17
Beyond Flavours,Sneha Munigela,please good quite expensive coming taste rate cant click better pictures wen visit night best day time pics,4.0,2019-05-21 20:17:00,5.07
Beyond Flavours,Sneha Sarkar,service good fast even people polite well behaving manav pradeep good hope everyone behaves way,4.0,2019-05-21 10:53:00,4.95
Beyond Flavours,Tony,farewell feast recently enjoyed well good management boys gave complimentary food made us happy food perfect desserts starters wonderful,5.0,2019-05-21 05:43:00,6.36
Beyond Flavours,Amritap Datta,excellent experience mouthwatering food good ambience must go place hyderabad served shubhro papiya awesome behaviour enjoyable evening friends,5.0,2019-05-20 23:33:00,6.43
Beyond Flavours,Imteja7,place good live music superb beautiful voice food nice n loved lightning entrance also nice,5.0,2019-05-20 14:17:00,5.91
Beyond Flavours,Nisha Gahlawat,sonalin great voice must visit place became fan food good star side live music lightening everything awesome,5.0,2019-05-20 12:45:00,6.08
Beyond Flavours,Dharini Hombal,heard voice beautiful amazing voice love voice way sings became fan sonalin priyadarshini good place must visit food also nice,5.0,2019-05-20 12:30:00,6.26
Beyond Flavours,Ankita Sinha,sonalin good singer city beautiful face beautiful face must visit place beautiful live music loved loved food well good lightning,5.0,2019-05-20 12:25:00,6.29
Beyond Flavours,Ppck2412,food descent enough desert options also good starrers also tasty one bad experience ee waiting time even though booked table prior time,4.0,2019-05-20 12:11:00,5.35
Beyond Flavours,Pragya Sarda,short review decent breads starters bad shaam savera little screwed daal makhni one case better ambience night importantly good quantity wanted give option extensive ambience better night friends day like much prefer ambience go night food ordered hara bhara kebab shaam savera daal makhni rotis raita yes vegetarian good part quantity excited see shaam savera menu take want order close messed real bad especially colors daal makhni big chunks garlic cloves spoiled creamy breads raita decent hara bhara kebabs decent soft extra outer coating peanuts peanut fan kebabs ask skip step conclusion looked like made food hurry would like give place another try hoping mine one odd cases things change know,3.0,2019-05-20 00:35:00,10.01
Beyond Flavours,Anindya,excellent food good service soumen das ambience good live music food served timely decor restaurant amazing well,5.0,2019-05-19 22:57:00,6.12
Beyond Flavours,Santhosh Reddyy,review place would star ambeince service staff lacks lot place even though food good places like special hey papiya shuvro,5.0,2019-05-19 22:46:00,6.22
